ID,Cluster
766192484,0
766192485,0
766192486,0
766192487,0
766192488,0
766192489,0
766192490,0
766192491,0
766192492,0
766192493,0
766192494,0
766192495,0
766192496,0
766192497,0
766192498,0
766192499,0
766192500,0
766192501,0
766192502,0
766192503,0
766192504,0
766192505,0
766192506,0
766192507,0
766192508,0
766192509,0
766192510,0
766192511,0
766192512,0
766192513,0
766192514,0
766192515,0
766192516,0
766192517,0
766192518,0
766192519,0
766192520,0
766192521,0
766192522,0
766192523,0
766192524,0
766192525,0
766192526,0
766192527,0
766192528,0
766192529,0
766192530,0
766192531,0
766192532,0
766192533,0
766192534,0
766192535,0
766192536,0
766192537,0
766192538,0
766192539,0
766192540,0
766192541,0
766192542,0
766192543,0
766192544,0
766192545,0
766192546,0
766192547,0
766192548,0
766192549,0
766192550,0
766192551,0
766192552,0
766192553,0
766192554,0
766192555,0
766192556,0
766192557,0
766192558,0
766192559,0
766192560,0
766192561,0
766192562,0
766192563,0
766192564,0
766192565,0
766192566,0
766192567,0
766192568,0
766192569,0
766192570,0
766192571,0
766192572,0
766192573,0
766192574,0
766192575,0
766192576,0
766192577,0
766192578,0
766192579,0
766192580,0
766192581,0
766192582,0
766192583,0
766192585,0
766192586,0
766192587,0
766192588,0
766192589,0
766192590,0
766192591,0
766192592,0
766192593,0
766192594,0
766192595,0
766192596,0
766192597,0
766192598,0
766192599,0
766192600,0
766192601,0
766192602,0
766192603,0
766192604,0
766192605,0
766192606,0
766192607,0
766192608,0
766192609,0
766192610,0
766192611,0
766192612,0
766192613,0
766192614,0
766192615,0
766192616,0
766192617,0
766192618,0
766192619,0
766192620,0
766192621,0
766192622,0
766192623,0
766192624,0
766192625,0
766192626,0
766192627,0
766192628,0
766192629,0
766192630,0
766192631,0
766192632,0
766192633,0
766192634,0
766192635,0
766192636,0
766192637,0
766192638,0
766192639,0
766192640,0
766192641,0
766192642,0
766192643,0
766192644,0
766192645,0
766192646,0
766192647,0
766192648,0
766192649,0
766192650,0
766192651,0
766192652,0
766192653,0
766192654,0
766192655,0
766192656,0
766192657,0
766192658,0
766192659,0
766192660,0
766192661,0
766192662,0
766192663,0
766192664,0
766192665,0
766192666,0
766192667,0
766192668,0
766192669,0
766192670,0
766192671,0
766192672,0
766192673,0
766192674,0
766192675,0
766192676,0
766192677,0
766192678,0
766192679,0
766192680,0
766192681,0
766192682,0
766192683,0
766192684,0
766192685,0
766192686,0
766192687,0
766192688,0
766192689,0
766192690,0
766192691,0
766192692,0
766192693,0
766192694,0
766192695,0
766192696,0
766192697,0
766192698,0
766192699,0
766192700,0
766192701,0
766192702,0
766192703,0
766192704,0
766192705,0
766192706,0
766192707,0
766192708,0
766192709,0
766192710,0
766192711,0
766192712,0
766192713,0
766192714,0
766192715,0
766192716,0
766192717,0
766192718,0
766192719,0
766192720,0
766192721,0
766192722,0
766192723,0
766192724,0
766192725,0
766192726,0
766192727,0
766192728,0
766192729,0
766192730,0
766192731,0
766192732,0
766192733,0
766192734,0
766192735,0
766192736,0
766192737,0
766192738,0
766192739,0
766192740,0
766192741,0
766192742,0
766192743,0
766192744,0
766192745,0
766192746,0
766192747,0
766192748,0
766192749,0
766192750,0
766192751,0
766192752,0
766192753,0
766192754,0
766192755,0
766192756,0
766192757,0
766192758,0
766192759,0
766192760,0
766192761,0
766192762,0
766192763,0
766192764,0
766192765,0
766192766,0
766192767,0
766192768,0
766192769,0
766192770,0
766192771,0
766192772,0
766192773,0
766192774,0
766192775,0
766192776,0
766192777,0
766192778,0
766192779,0
766192780,0
766192781,0
766192782,0
766192783,0
766192784,0
766192785,0
766192786,0
766192787,0
766192788,0
766192789,0
766192790,0
766192791,0
766192792,0
766192793,0
766192794,0
766192795,0
766192796,0
766192797,0
766192798,0
766192799,0
766192800,0
766192801,0
766192802,0
766192803,0
766192804,0
766192805,0
766192806,0
766192807,0
766192808,0
766192809,0
766192810,0
766192811,0
766192812,0
766192813,0
766192814,0
766192815,0
766192816,0
766192817,0
766192818,0
766192819,0
766192820,0
766192821,0
766192822,0
766192823,0
766192824,0
766192825,0
766192826,0
766192827,0
766192828,0
766192829,0
766192830,0
766192831,0
766192832,0
766192833,0
766192834,0
766192835,0
766192836,0
766192837,0
766192838,0
766192839,0
766192840,0
766192841,0
766192842,0
766192843,0
766192844,0
766192845,0
766192846,0
766192847,0
766192848,0
766192849,0
766192850,0
766192851,0
766192852,0
766192853,0
766192854,0
766192855,0
766192856,0
766192857,0
766192858,0
766192859,0
766192860,0
766192861,0
766192862,0
766192863,0
766192864,0
766192865,0
766192866,0
766192867,0
766192868,0
766192869,0
766192870,0
766192871,0
766192872,0
766192873,0
766192874,0
766192875,0
766192876,0
766192877,0
766192878,0
766192879,0
766192880,0
766192881,0
766192882,0
766192883,0
766192884,0
766192885,0
766192886,0
766192887,0
766192888,0
766192889,0
766192890,0
766192891,0
766192892,0
766192893,0
766192894,0
766192895,0
766192896,0
766192897,0
766192898,0
766192899,0
766192900,0
766192901,0
766192902,0
766192903,0
766192904,0
766192905,0
766192906,0
766192907,0
766192908,0
766192909,0
766192910,0
766192911,0
766192912,0
766192913,0
766192914,0
766192915,0
766192916,0
766192917,0
766192918,0
766192919,0
766192920,0
766192921,0
766192922,0
766192923,0
766192924,0
766192925,0
766192926,0
766192927,0
766192928,0
766192929,0
766192930,0
766192931,0
766192932,0
766192933,0
766192934,0
766192935,0
766192936,0
766192937,0
766192938,0
766192939,0
766192940,0
766192941,0
766192942,0
766192943,0
766192944,0
766192945,0
766192946,0
766192947,0
766192948,0
766192949,0
766192950,0
766192951,0
766192952,0
766192953,0
766192954,0
766192955,0
766192956,0
766192957,0
766192958,0
766192959,0
766192960,0
766192961,0
766192962,0
766192963,0
766192964,0
766192965,0
766192966,0
766192967,0
766192968,0
766192969,0
766192970,0
766192971,0
766192972,0
766192973,0
766192974,0
766192975,0
766192976,0
766192977,0
766192978,0
766192979,0
766192980,0
766192981,0
766192982,0
766192983,0
766192984,0
766192985,0
766192986,0
766192987,0
766192988,0
766192989,0
766192990,0
766192991,0
766192992,0
766192993,0
766192994,0
766192995,0
766192996,0
766192997,0
766192998,0
766192999,0
766193000,0
766193001,0
766193002,0
766193003,0
766193004,0
766193005,0
766193006,0
766193007,0
766193008,0
766193009,0
766193010,0
766193011,0
766193012,0
